Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
XGBoost,Coal,120,5,1.2058,0.3341,73.0233,102.8388,21.6903,0.8945,50.13,2.74
XGBoost,Coal,120,20,2.5053,0.6325,152.6403,217.7572,40.0844,0.5131,49.13,1.89
XGBoost,Copper,20,1,0.7026,0.1715,43.0264,57.9533,9.2486,0.965,51.4,1.03
XGBoost,Copper,20,5,1.1443,0.3212,69.3299,99.611,21.5511,0.9096,52.75,3.75
XGBoost,Copper,20,20,2.295,0.6622,137.9083,210.7232,47.4904,0.5802,50.92,2.32
XGBoost,Copper,120,1,0.7014,0.1722,42.946,57.8819,9.1212,0.9656,51.5,1.73
XGBoost,Copper,120,5,1.1975,0.3656,72.2656,101.7499,24.1698,0.9062,49.97,4.46
XGBoost,Copper,120,20,2.4072,0.6511,144.9882,210.5181,47.0746,0.5595,49.02,1.66
XGBoost,Nickel,20,1,0.7142,0.1504,43.905,59.6665,8.2128,0.9612,50.08,2.26
XGBoost,Nickel,20,5,1.1936,0.3258,72.2617,104.7621,22.0441,0.8971,49.51,2.25
